Date,Time,NO2_BR,Lat_BR,Lon_BR,NO2_DG,Lat_DG,Lon_DG,NO2_T,Lat_T,Lon_T
2023-01-07,12:00:00,24.08422,53.40495,-1.455815,10.49325,53.378622,-1.478096,9.85244,53.41058,-1.396139
2023-01-07,13:00:00,18.69867,53.40495,-1.455815,10.55037,53.378622,-1.478096,14.95338,53.41058,-1.396139
2023-01-07,14:00:00,26.79236,53.40495,-1.455815,11.43233,53.378622,-1.478096,20.20062,53.41058,-1.396139
2023-01-07,15:00:00,44.11432,53.40495,-1.455815,16.26381,53.378622,-1.478096,17.67352,53.41058,-1.396139
2023-01-07,16:00:00,39.88055,53.40495,-1.455815,22.54528,53.378622,-1.478096,21.77899,53.41058,-1.396139
2023-01-07,17:00:00,48.87779,53.40495,-1.455815,29.35253,53.378622,-1.478096,21.03533,53.41058,-1.396139
2023-01-07,18:00:00,36.13139,53.40495,-1.455815,15.32815,53.378622,-1.478096,22.02602,53.41058,-1.396139
2023-01-07,19:00:00,31.27725,53.40495,-1.455815,11.1763,53.378622,-1.478096,17.5728,53.41058,-1.396139
2023-01-07,20:00:00,20.04583,53.40495,-1.455815,9.9878,53.378622,-1.478096,14.20752,53.41058,-1.396139
2023-01-07,21:00:00,25.39097,53.40495,-1.455815,8.72997,53.378622,-1.478096,12.12657,53.41058,-1.396139
2023-01-07,22:00:00,27.92892,53.40495,-1.455815,13.51067,53.378622,-1.478096,7.17646,53.41058,-1.396139
2023-01-07,23:00:00,23.97878,53.40495,-1.455815,6.85904,53.378622,-1.478096,6.18667,53.41058,-1.396139
2023-01-07,24:00:00,9.79143,53.40495,-1.455815,6.18742,53.378622,-1.478096,4.55329,53.41058,-1.396139
2023-01-08,01:00:00,6.19302,53.40495,-1.455815,5.41223,53.378622,-1.478096,3.76291,53.41058,-1.396139
2023-01-08,02:00:00,3.92734,53.40495,-1.455815,9.16093,53.378622,-1.478096,2.37778,53.41058,-1.396139
2023-01-08,03:00:00,3.89555,53.40495,-1.455815,7.96637,53.378622,-1.478096,1.73413,53.41058,-1.396139
2023-01-08,04:00:00,2.74641,53.40495,-1.455815,5.82875,53.378622,-1.478096,1.63519,53.41058,-1.396139
2023-01-08,05:00:00,4.99345,53.40495,-1.455815,3.58733,53.378622,-1.478096,2.32788,53.41058,-1.396139
2023-01-08,06:00:00,5.69441,53.40495,-1.455815,3.17085,53.378622,-1.478096,3.96125,53.41058,-1.396139
2023-01-08,07:00:00,14.13181,53.40495,-1.455815,3.58632,53.378622,-1.478096,6.68294,53.41058,-1.396139
2023-01-08,08:00:00,16.07732,53.40495,-1.455815,5.35337,53.378622,-1.478096,8.41512,53.41058,-1.396139
