0,1,2,3
7.0,165.0,2600.0,254.0
7.0,166.0,3549.0,1965.0
7.0,172.0,2574.0,1739.0
7.0,177.0,1119.0,413.0
7.0,178.0,3702.0,2529.0
7.0,179.0,3703.0,385.0
7.0,181.0,3215.0,2221.0
7.0,182.0,1129.0,2008.0
7.0,183.0,3210.0,1585.0
7.0,184.0,3139.0,904.0
7.0,185.0,3702.0,703.0
7.0,187.0,1119.0,2512.0
7.0,192.0,204.0,2288.0
7.0,194.0,216.0,2596.0
7.0,195.0,3110.0,1724.0
7.0,196.0,1315.0,2409.0
7.0,197.0,195.0,2415.0
7.0,198.0,1128.0,826.0
7.0,199.0,217.0,1409.0
7.0,200.0,875.0,742.0
7.0,201.0,3268.0,1389.0
7.0,204.0,3549.0,1690.0
7.0,205.0,196.0,3244.0
7.0,207.0,3703.0,1257.0
7.0,208.0,2775.0,2453.0
7.0,209.0,3140.0,2134.0
7.0,212.0,793.0,354.0
7.0,214.0,1550.0,1869.0
7.0,217.0,2574.0,976.0
7.0,218.0,870.0,148.0
7.0,220.0,3494.0,1719.0
7.0,223.0,3157.0,783.0
7.0,224.0,1119.0,1027.0
7.0,225.0,3157.0,84.0
7.0,226.0,1129.0,1434.0
7.0,227.0,3941.0,2184.0
7.0,228.0,1119.0,1233.0
7.0,232.0,3311.0,1374.0
7.0,234.0,3302.0,3058.0
7.0,239.0,1127.0,3412.0
7.0,241.0,2575.0,2548.0
7.0,243.0,2386.0,2349.0
7.0,245.0,196.0,2122.0
7.0,247.0,800.0,2511.0
7.0,249.0,1550.0,1069.0
7.0,250.0,3703.0,1264.0
7.0,252.0,1550.0,259.0
7.0,253.0,3215.0,2126.0
7.0,257.0,1315.0,558.0
7.0,259.0,3220.0,2103.0
7.0,260.0,460.0,944.0
7.0,261.0,3304.0,650.0
7.0,263.0,3211.0,824.0
7.0,266.0,3782.0,1851.0
7.0,275.0,1122.0,55.0
7.0,277.0,3311.0,244.0
7.0,288.0,3549.0,1927.0
7.0,292.0,1123.0,3904.0
7.0,295.0,3357.0,1419.0
7.0,296.0,3681.0,2508.0
7.0,298.0,216.0,2981.0
7.0,313.0,3212.0,252.0
7.0,314.0,3187.0,1417.0
7.0,317.0,2386.0,136.0
7.0,321.0,980.0,241.0
7.0,322.0,980.0,3192.0
7.0,328.0,3220.0,3292.0
7.0,335.0,3357.0,3508.0
7.0,336.0,3210.0,255.0
7.0,339.0,3140.0,1499.0
7.0,344.0,217.0,259.0
8.0,2.0,3256.0,3264.0
8.0,6.0,191.0,1104.0
8.0,7.0,191.0,3110.0
8.0,8.0,191.0,2874.0
8.0,10.0,2874.0,453.0
8.0,11.0,588.0,333.0
8.0,14.0,192.0,1269.0
8.0,22.0,207.0,530.0
8.0,23.0,588.0,722.0
8.0,24.0,572.0,2284.0
8.0,25.0,573.0,1492.0
8.0,33.0,2139.0,1903.0
8.0,34.0,575.0,2105.0
8.0,38.0,2871.0,3953.0
8.0,41.0,191.0,357.0
8.0,42.0,191.0,3191.0
8.0,46.0,572.0,1486.0
8.0,47.0,575.0,1996.0
8.0,48.0,192.0,383.0
8.0,50.0,3258.0,2000.0
8.0,53.0,2871.0,3848.0
8.0,54.0,572.0,3949.0
8.0,61.0,575.0,2703.0
8.0,62.0,588.0,3868.0
8.0,63.0,192.0,2741.0
8.0,66.0,575.0,3952.0
8.0,68.0,207.0,346.0
8.0,74.0,2139.0,2038.0
8.0,81.0,571.0,1530.0
8.0,82.0,192.0,320.0
8.0,84.0,575.0,2269.0
8.0,95.0,2584.0,3229.0
8.0,96.0,2139.0,339.0
8.0,98.0,2584.0,1419.0
8.0,100.0,2874.0,2085.0
8.0,106.0,2871.0,3396.0
8.0,107.0,191.0,3108.0
8.0,109.0,3256.0,2988.0
8.0,110.0,2871.0,2877.0
8.0,113.0,573.0,2685.0
8.0,116.0,588.0,2830.0
8.0,121.0,2871.0,2966.0
8.0,126.0,191.0,2139.0
8.0,127.0,2871.0,2110.0
8.0,130.0,3256.0,599.0
8.0,131.0,3258.0,1691.0
8.0,133.0,3257.0,1019.0
8.0,134.0,575.0,2927.0
8.0,137.0,588.0,2928.0
8.0,140.0,3256.0,3832.0
8.0,143.0,191.0,2564.0
8.0,144.0,588.0,542.0
8.0,145.0,2871.0,1716.0
8.0,147.0,191.0,337.0
8.0,150.0,2874.0,2899.0
8.0,153.0,573.0,561.0
8.0,154.0,2871.0,3580.0
8.0,156.0,2583.0,828.0
8.0,160.0,2139.0,492.0
8.0,161.0,572.0,1404.0
8.0,162.0,3258.0,353.0
8.0,166.0,573.0,3655.0
8.0,170.0,573.0,2827.0
8.0,172.0,191.0,1247.0
8.0,178.0,571.0,92.0
8.0,181.0,588.0,2221.0
8.0,185.0,573.0,687.0
8.0,193.0,2874.0,1943.0
8.0,197.0,191.0,2415.0
8.0,201.0,192.0,1389.0
8.0,202.0,207.0,3433.0
8.0,209.0,588.0,2134.0
8.0,212.0,3257.0,354.0
