Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
10.580000000000002,15.237547064173809,2.125,0.006611869950576832,125,2450,0.9316770303057297,0.029750000000000002
8.8,15.238908966440702,2.25,0.007973772217470199,125,2450,0.9316770333040992,0.0315
13.785,15.242410244717483,2.375,0.011475050494251349,125,2450,0.9316770368461024,0.03325
18.87,15.247618387123149,2.5,0.016683192899916932,125,2450,0.9316770409937887,0.035
14.495,15.247618387123149,2.5,0.016683192899916932,125,2450,0.9316770409937887,0.035
13.105,15.247618387123149,2.5,0.016683192899916932,125,2450,0.9316770409937887,0.035
9.15,15.254729503818329,2.625,0.023794309595096763,125,2450,0.931677045812562,0.03675
13.725,15.254729503818329,2.625,0.023794309595096763,125,2450,0.931677045812562,0.03675
15.11,15.254729503818329,2.625,0.023794309595096763,125,2450,0.931677045812562,0.03675
12.355,15.25852795691214,2.75,0.027592762688907868,125,2450,0.93167705137118,0.0385
14.92,15.25852795691214,2.75,0.027592762688907868,125,2450,0.93167705137118,0.0385
12.005,15.25852795691214,2.75,0.027592762688907868,125,2450,0.93167705137118,0.0385
10.86,15.258104756527196,2.875,0.027169562303964057,125,2450,0.9316770577417545,0.04025
15.465,15.258104756527196,2.875,0.027169562303964057,125,2450,0.9316770577417545,0.04025
18.27,15.258104756527196,2.875,0.027169562303964057,125,2450,0.9316770577417545,0.04025
19.095,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
17.51,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
14.760000000000002,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
9.555,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
15.385,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
13.505,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
17.05,15.25830429114843,3,0.027369096925198733,125,2450,0.9316770649997513,0.042
10.47,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
13.86,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
14.315,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
11.38,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
14.260000000000002,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
11.935,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
15.515,15.26241671309026,3.125,0.03148151886702877,125,2450,0.9316770732239906,0.043750000000000004
5.970000000000001,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
12.06,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
11.495,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
10.06,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
14.035,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
11.795,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
14.8,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
15.725,15.258406026606089,3.25,0.02747083238285697,125,2450,0.9316770824966458,0.0455
25.07,15.258485387883532,3.375,0.027550193660299982,125,2450,0.9316770929032451,0.04725
8.665,15.258485387883532,3.375,0.027550193660299982,125,2450,0.9316770929032451,0.04725
16.28,15.258485387883532,3.375,0.027550193660299982,125,2450,0.9316770929032451,0.04725
15.08,15.258485387883532,3.375,0.027550193660299982,125,2450,0.9316770929032451,0.04725
15.08,15.258485387883532,3.375,0.027550193660299982,125,2450,0.9316770929032451,0.04725
9.89,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
12.775,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
11.515,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
13.66,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
18.3,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
15.955,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
13.03,15.26039799243633,3.5,0.02946279821309794,125,2450,0.9316771045326707,0.049
15.645,15.259170931320469,3.625,0.028235737097237035,125,2450,0.9316771174771582,0.05075
6.19,15.258091003319326,3.75,0.02715580909609372,125,2450,0.9316771318322982,0.0525
12.085,15.258091003319326,3.75,0.02715580909609372,125,2450,0.9316771318322982,0.0525
12.37,15.258091003319326,3.75,0.02715580909609372,125,2450,0.9316771318322982,0.0525
36.09,15.258782258903397,3.875,0.027847064680164735,125,2450,0.9316771476970341,0.05425
13.33,15.258782258903397,3.875,0.027847064680164735,125,2450,0.9316771476970341,0.05425
17.39,15.258782258903397,3.875,0.027847064680164735,125,2450,0.9316771476970341,0.05425
15.155,15.258782258903397,3.875,0.027847064680164735,125,2450,0.9316771476970341,0.05425
13.175,15.258782258903397,3.875,0.027847064680164735,125,2450,0.9316771476970341,0.05425
13.525000000000002,15.2581918252469,4,0.027256631023668376,125,2450,0.9316771651736644,0.056
13.515,15.2581918252469,4,0.027256631023668376,125,2450,0.9316771651736644,0.056
11.330000000000002,15.2581918252469,4,0.027256631023668376,125,2450,0.9316771651736644,0.056
13.315,15.2581918252469,4,0.027256631023668376,125,2450,0.9316771651736644,0.056
13.35,15.2581918252469,4,0.027256631023668376,125,2450,0.9316771651736644,0.056
6.305000000000001,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
12.855,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
14.53,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
14.2,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
9.67,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
13.61,15.256489771259636,4.125,0.02555457703640407,125,2450,0.9316771843678415,0.05775
